Reaction ID	Name	Subsystem	Reaction (IDs)	Reaction (Names)	Reaction (CHEBI)	Substrates (BiGG)	Genes	UIDs
G1PACT	Glucosamine-1-phosphate N-acetyltransferase	Cell Envelope Biosynthesis	1.0 accoa_c + 1.0 gam1p_c = 1.0 acgam1p_c + 1.0 coa_c + 1.0 h_c	1.0 Acetyl-CoA + 1.0 D-Glucosamine 1-phosphate = 1.0 N-Acetyl-D-glucosamine 1-phosphate + 1.0 Coenzyme A + 1.0 H+	1.0 CHEBI:57288 + 1.0 CHEBI:12316 = 1.0 CHEBI:7125 + 1.0 CHEBI:41631 + 1.0 CHEBI:5584	{'gam1p', 'acgam1p', 'coa', 'accoa', 'h'}	glmU	P0ACC7
GART	GAR transformylase-T	Purine and Pyrimidine Biosynthesis	1.0 atp_c + 1.0 for_c + 1.0 gar_c = 1.0 adp_c + 1.0 fgam_c + 1.0 h_c + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 Formate + 1.0 N1-(5-Phospho-D-ribosyl)glycinamide = 1.0 ADP C10H12N5O10P2 + 1.0 N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:24081 + 1.0 CHEBI:20499 = 1.0 CHEBI:2342 + 1.0 CHEBI:12635 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'for', 'atp', 'fgam', 'adp', 'gar', 'pi', 'h'}	purT	P33221
CSND	Cytosine deaminase	Nucleotide Salvage Pathway	1.0 csn_c + 1.0 h2o_c + 1.0 h_c = 1.0 nh4_c + 1.0 ura_c	1.0 Cytosine + 1.0 H2O H2O + 1.0 H+ = 1.0 Ammonium + 1.0 Uracil	1.0 CHEBI:23531 + 1.0 CHEBI:13352 + 1.0 CHEBI:5584 = 1.0 CHEBI:44284 + 1.0 CHEBI:27210	{'csn', 'nh4', 'h2o', 'ura', 'h'}	codA	P25524
GF6PTA	Glutamine-fructose-6-phosphate transaminase	Cell Envelope Biosynthesis	1.0 f6p_c + 1.0 gln__L_c = 1.0 gam6p_c + 1.0 glu__L_c	1.0 D-Fructose 6-phosphate + 1.0 L-Glutamine = 1.0 D-Glucosamine 6-phosphate + 1.0 L-Glutamate	1.0 CHEBI:16084 + 1.0 CHEBI:42943 = 1.0 CHEBI:12962 + 1.0 CHEBI:76051	{'gln__L', 'glu__L', 'gam6p', 'f6p'}	glmS	P17169
IGPDH	Imidazoleglycerol-phosphate dehydratase	Histidine Metabolism	1.0 eig3p_c = 1.0 h2o_c + 1.0 imacp_c	1.0 D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate = 1.0 H2O H2O + 1.0 3-(Imidazol-4-yl)-2-oxopropyl phosphate	1.0 CHEBI:12888 = 1.0 CHEBI:13352 + 1.0 CHEBI:57766	{'imacp', 'eig3p', 'h2o'}	hisB	P06987
EX_glyclt_e	Glycolate exchange	Extracellular exchange	1.0 glyclt_e = 	1.0 Glycolate C2H3O3 = 	1.0 CHEBI:24388 = 	{'glyclt'}	Unknown	Unknown
PRPPS	Phosphoribosylpyrophosphate synthetase	Histidine Metabolism	1.0 atp_c + 1.0 r5p_c = 1.0 amp_c + 1.0 h_c + 1.0 prpp_c	1.0 ATP C10H12N5O13P3 + 1.0 Alpha-D-Ribose 5-phosphate = 1.0 AMP C10H12N5O7P + 1.0 H+ + 1.0 5-Phospho-alpha-D-ribose 1-diphosphate	1.0 CHEBI:15422 + 1.0 CHEBI:18189 = 1.0 CHEBI:13736 + 1.0 CHEBI:5584 + 1.0 CHEBI:2121	{'prpp', 'atp', 'r5p', 'amp', 'h'}	prs	P0A717
GLUCYS	Gamma-glutamylcysteine synthetase	Cofactor and Prosthetic Group Biosynthesis	1.0 atp_c + 1.0 cys__L_c + 1.0 glu__L_c = 1.0 adp_c + 1.0 glucys_c + 1.0 h_c + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 L-Cysteine + 1.0 L-Glutamate = 1.0 ADP C10H12N5O10P2 + 1.0 Gamma-L-Glutamyl-L-cysteine + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:32457 + 1.0 CHEBI:76051 = 1.0 CHEBI:2342 + 1.0 CHEBI:24194 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'atp', 'cys__L', 'adp', 'glu__L', 'pi', 'glucys', 'h'}	gshA	P0A6W9
PRATPP	Phosphoribosyl-ATP pyrophosphatase	Histidine Metabolism	1.0 h2o_c + 1.0 prbatp_c = 1.0 h_c + 1.0 ppi_c + 1.0 prbamp_c	1.0 H2O H2O + 1.0 1-(5-Phosphoribosyl)-ATP = 1.0 H+ + 1.0 Diphosphate + 1.0 1-(5-Phosphoribosyl)-AMP	1.0 CHEBI:13352 + 1.0 CHEBI:73200 = 1.0 CHEBI:5584 + 1.0 CHEBI:45212 + 1.0 CHEBI:7354	{'ppi', 'h2o', 'prbatp', 'prbamp', 'h'}	hisI	P06989
GLUN	Glutaminase	Glutamate Metabolism	1.0 gln__L_c + 1.0 h2o_c = 1.0 glu__L_c + 1.0 nh4_c	1.0 L-Glutamine + 1.0 H2O H2O = 1.0 L-Glutamate + 1.0 Ammonium	1.0 CHEBI:42943 + 1.0 CHEBI:13352 = 1.0 CHEBI:76051 + 1.0 CHEBI:44284	{'gln__L', 'glu__L', 'nh4', 'h2o'}	glsA, glsB	P77454, P0A6W0
PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	Histidine Metabolism	1.0 prfp_c = 1.0 prlp_c	1.0 1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide = 1.0 5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide	1.0 CHEBI:11194 = 1.0 CHEBI:39698	{'prfp', 'prlp'}	hisA	P10371
GLUPRT	Glutamine phosphoribosyldiphosphate amidotransferase	Purine and Pyrimidine Biosynthesis	1.0 gln__L_c + 1.0 h2o_c + 1.0 prpp_c = 1.0 glu__L_c + 1.0 ppi_c + 1.0 pram_c	1.0 L-Glutamine + 1.0 H2O H2O + 1.0 5-Phospho-alpha-D-ribose 1-diphosphate = 1.0 L-Glutamate + 1.0 Diphosphate + 1.0 5-Phospho-beta-D-ribosylamine	1.0 CHEBI:42943 + 1.0 CHEBI:13352 + 1.0 CHEBI:2121 = 1.0 CHEBI:76051 + 1.0 CHEBI:45212 + 1.0 CHEBI:12161	{'prpp', 'ppi', 'h2o', 'pram', 'glu__L', 'gln__L'}	purF	P0AG16
EX_g6p_e	D-Glucose 6-phosphate exchange	Extracellular exchange	1.0 g6p_e = 	1.0 D-Glucose 6-phosphate = 	1.0 CHEBI:61548 = 	{'g6p'}	Unknown	Unknown
GMPR	GMP reductase	Purine and Pyrimidine Biosynthesis	1.0 gmp_c + 2.0 h_c + 1.0 nadph_c = 1.0 imp_c + 1.0 nadp_c + 1.0 nh4_c	1.0 GMP C10H12N5O8P + 2.0 H+ + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced = 1.0 IMP C10H11N4O8P + 1.0 Nicotinamide adenine dinucleotide phosphate + 1.0 Ammonium	1.0 CHEBI:24449 + 2.0 CHEBI:5584 + 1.0 CHEBI:16474 = 1.0 CHEBI:43524 + 1.0 CHEBI:29868 + 1.0 CHEBI:44284	{'nh4', 'nadp', 'nadph', 'gmp', 'imp', 'h'}	guaC	P60560
SERAT	Serine O-acetyltransferase	Cysteine Metabolism	1.0 accoa_c + 1.0 ser__L_c = 1.0 acser_c + 1.0 coa_c	1.0 Acetyl-CoA + 1.0 L-Serine = 1.0 O-Acetyl-L-serine + 1.0 Coenzyme A	1.0 CHEBI:57288 + 1.0 CHEBI:32845 = 1.0 CHEBI:44568 + 1.0 CHEBI:41631	{'acser', 'ser__L', 'coa', 'accoa'}	cysE	P0A9D4
CYSS	Cysteine synthase	Cysteine Metabolism	1.0 acser_c + 1.0 h2s_c = 1.0 ac_c + 1.0 cys__L_c + 1.0 h_c	1.0 O-Acetyl-L-serine + 1.0 Hydrogen sulfide = 1.0 Acetate + 1.0 L-Cysteine + 1.0 H+	1.0 CHEBI:44568 + 1.0 CHEBI:14414 = 1.0 CHEBI:13704 + 1.0 CHEBI:32457 + 1.0 CHEBI:5584	{'h2s', 'cys__L', 'acser', 'ac', 'h'}	cysM, cysK	P16703, P0ABK5
NADS1	NAD synthase (nh3)	Cofactor and Prosthetic Group Biosynthesis	1.0 atp_c + 1.0 dnad_c + 1.0 nh4_c = 1.0 amp_c + 1.0 h_c + 1.0 nad_c + 1.0 ppi_c	1.0 ATP C10H12N5O13P3 + 1.0 Deamino-NAD+ + 1.0 Ammonium = 1.0 AMP C10H12N5O7P + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide + 1.0 Diphosphate	1.0 CHEBI:15422 + 1.0 CHEBI:14104 + 1.0 CHEBI:44284 = 1.0 CHEBI:13736 + 1.0 CHEBI:5584 + 1.0 CHEBI:7422 + 1.0 CHEBI:45212	{'atp', 'nh4', 'dnad', 'ppi', 'nad', 'amp', 'h'}	nadE	P18843
BPNT	3',5'-bisphosphate nucleotidase	Cysteine Metabolism	1.0 h2o_c + 1.0 pap_c = 1.0 amp_c + 1.0 pi_c	1.0 H2O H2O + 1.0 Adenosine 3',5'-bisphosphate = 1.0 AMP C10H12N5O7P + 1.0 Phosphate	1.0 CHEBI:13352 + 1.0 CHEBI:17985 = 1.0 CHEBI:13736 + 1.0 CHEBI:26078	{'amp', 'pi', 'pap', 'h2o'}	cysQ	P22255
EX_2ddglcn_e	2-Dehydro-3-deoxy-D-gluconate exchange	Extracellular exchange	1.0 2ddglcn_e = 	1.0 2-Dehydro-3-deoxy-D-gluconate = 	1.0 CHEBI:1059 = 	{'2ddglcn'}	Unknown	Unknown
PAPSR	Phosphoadenylyl-sulfate reductase (thioredoxin)	Cysteine Metabolism	1.0 paps_c + 1.0 trdrd_c = 2.0 h_c + 1.0 pap_c + 1.0 so3_c + 1.0 trdox_c	1.0 3'-Phosphoadenylyl sulfate + 1.0 Reduced thioredoxin = 2.0 H+ + 1.0 Adenosine 3',5'-bisphosphate + 1.0 Sulfite + 1.0 Oxidized thioredoxin	1.0 CHEBI:17980 + 1.0 CHEBI:15033 = 2.0 CHEBI:5584 + 1.0 CHEBI:17985 + 1.0 CHEBI:15139 + 1.0 CHEBI:14726	{'h', 'trdrd', 'trdox', 'pap', 'paps', 'so3'}	trxC, cysH, trxA, cysH	P0AGG4, P17854, P0AA25
ASPK	Aspartate kinase	Threonine and Lysine Metabolism	1.0 asp__L_c + 1.0 atp_c = 1.0 4pasp_c + 1.0 adp_c	1.0 L-Aspartate + 1.0 ATP C10H12N5O13P3 = 1.0 4-Phospho-L-aspartate + 1.0 ADP C10H12N5O10P2	1.0 CHEBI:17053 + 1.0 CHEBI:15422 = 1.0 CHEBI:13062 + 1.0 CHEBI:2342	{'atp', '4pasp', 'adp', 'asp__L'}	thrA, metL, lysC	P00561, P00562, P08660
ASAD	Aspartate-semialdehyde dehydrogenase	Threonine and Lysine Metabolism	1.0 aspsa_c + 1.0 nadp_c + 1.0 pi_c = 1.0 4pasp_c + 1.0 h_c + 1.0 nadph_c	1.0 L-Aspartate 4-semialdehyde + 1.0 Nicotinamide adenine dinucleotide phosphate + 1.0 Phosphate = 1.0 4-Phospho-L-aspartate + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced	1.0 CHEBI:40847 + 1.0 CHEBI:29868 + 1.0 CHEBI:26078 = 1.0 CHEBI:13062 + 1.0 CHEBI:5584 + 1.0 CHEBI:16474	{'aspsa', 'nadp', 'nadph', '4pasp', 'pi', 'h'}	asd	P0A9Q9
DAPDC	Diaminopimelate decarboxylase	Threonine and Lysine Metabolism	1.0 26dap__M_c + 1.0 h_c = 1.0 co2_c + 1.0 lys__L_c	1.0 Meso-2,6-Diaminoheptanedioate + 1.0 H+ = 1.0 CO2 CO2 + 1.0 L-Lysine	1.0 CHEBI:40838 + 1.0 CHEBI:5584 = 1.0 CHEBI:23011 + 1.0 CHEBI:6264	{'26dap__M', 'h', 'lys__L', 'co2'}	lysA	P00861
EX_mmet_e	S-Methyl-L-methionine exchange	Extracellular exchange	1.0 mmet_e = 	1.0 S-Methyl-L-methionine = 	1.0 CHEBI:17728 = 	{'mmet'}	Unknown	Unknown
NTRIR2x	Nitrite Reductase (NADH)	Oxidative Phosphorylation	5.0 h_c + 3.0 nadh_c + 1.0 no2_c = 2.0 h2o_c + 3.0 nad_c + 1.0 nh4_c	5.0 H+ + 3.0 Nicotinamide adenine dinucleotide - reduced + 1.0 Nitrite = 2.0 H2O H2O + 3.0 Nicotinamide adenine dinucleotide + 1.0 Ammonium	5.0 CHEBI:5584 + 3.0 CHEBI:13395 + 1.0 CHEBI:16301 = 2.0 CHEBI:13352 + 3.0 CHEBI:7422 + 1.0 CHEBI:44284	{'nh4', 'h2o', 'nad', 'no2', 'nadh', 'h'}	nirD, nirB	P0A9I8, P08201
OCBT	Ornithine carbamoyltransferase	Arginine and Proline Metabolism	1.0 cbp_c + 1.0 orn_c = 1.0 citr__L_c + 1.0 h_c + 1.0 pi_c	1.0 Carbamoyl phosphate + 1.0 Ornithine = 1.0 L-Citrulline + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:13942 + 1.0 CHEBI:21367 = 1.0 CHEBI:41489 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'cbp', 'citr__L', 'orn', 'pi', 'h'}	argI, argF	P04391, P06960
GARFT	Phosphoribosylglycinamide formyltransferase	Purine and Pyrimidine Biosynthesis	1.0 10fthf_c + 1.0 gar_c = 1.0 fgam_c + 1.0 h_c + 1.0 thf_c	1.0 10-Formyltetrahydrofolate + 1.0 N1-(5-Phospho-D-ribosyl)glycinamide = 1.0 N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide + 1.0 H+ + 1.0 5,6,7,8-Tetrahydrofolate	1.0 CHEBI:19108 + 1.0 CHEBI:20499 = 1.0 CHEBI:12635 + 1.0 CHEBI:5584 + 1.0 CHEBI:57453	{'fgam', '10fthf', 'thf', 'gar', 'h'}	purN	P08179
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	Glycerophospholipid Metabolism	1.0 g3pc_c + 1.0 h2o_c = 1.0 chol_c + 1.0 glyc3p_c + 1.0 h_c	1.0 Sn-Glycero-3-phosphocholine + 1.0 H2O H2O = 1.0 Choline C5H14NO + 1.0 Glycerol 3-phosphate + 1.0 H+	1.0 CHEBI:55397 + 1.0 CHEBI:13352 = 1.0 CHEBI:41524 + 1.0 CHEBI:12843 + 1.0 CHEBI:5584	{'h2o', 'chol', 'glyc3p', 'g3pc', 'h'}	ugpQ	P10908
GPDDA2	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	Glycerophospholipid Metabolism	1.0 g3pe_c + 1.0 h2o_c = 1.0 etha_c + 1.0 glyc3p_c + 1.0 h_c	1.0 Sn-Glycero-3-phosphoethanolamine + 1.0 H2O H2O = 1.0 Ethanolamine + 1.0 Glycerol 3-phosphate + 1.0 H+	1.0 CHEBI:57952 + 1.0 CHEBI:13352 = 1.0 CHEBI:57603 + 1.0 CHEBI:12843 + 1.0 CHEBI:5584	{'etha', 'h2o', 'glyc3p', 'g3pe', 'h'}	ugpQ	P10908
PHETA1	Phenylalanine transaminase	Tyrosine, Tryptophan, and Phenylalanine Metabolism	1.0 akg_c + 1.0 phe__L_c = 1.0 glu__L_c + 1.0 phpyr_c	1.0 2-Oxoglutarate + 1.0 L-Phenylalanine = 1.0 L-Glutamate + 1.0 Phenylpyruvate	1.0 CHEBI:40661 + 1.0 CHEBI:21370 = 1.0 CHEBI:76051 + 1.0 CHEBI:14784	{'phpyr', 'akg', 'glu__L', 'phe__L'}	tyrB, aspC, ilvE	P04693, P00509, P0AB80
PPND	Prephenate dehydrogenase	Tyrosine, Tryptophan, and Phenylalanine Metabolism	1.0 nad_c + 1.0 pphn_c = 1.0 34hpp_c + 1.0 co2_c + 1.0 nadh_c	1.0 Nicotinamide adenine dinucleotide + 1.0 Prephenate = 1.0 3-(4-Hydroxyphenyl)pyruvate + 1.0 CO2 CO2 + 1.0 Nicotinamide adenine dinucleotide - reduced	1.0 CHEBI:7422 + 1.0 CHEBI:8399 = 1.0 CHEBI:36242 + 1.0 CHEBI:23011 + 1.0 CHEBI:13395	{'34hpp', 'co2', 'pphn', 'nad', 'nadh'}	tyrA	P07023
METAT	Methionine adenosyltransferase	Methionine Metabolism	1.0 atp_c + 1.0 h2o_c + 1.0 met__L_c = 1.0 amet_c + 1.0 pi_c + 1.0 ppi_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 L-Methionine = 1.0 S-Adenosyl-L-methionine + 1.0 Phosphate + 1.0 Diphosphate	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:32644 = 1.0 CHEBI:33442 + 1.0 CHEBI:26078 + 1.0 CHEBI:45212	{'atp', 'met__L', 'ppi', 'h2o', 'amet', 'pi'}	metK	P0A817
ASCBPL	L-ascorbate 6-phosphate lactonase	Alternate Carbon Metabolism	1.0 ascb6p_c + 1.0 h2o_c = 1.0 3dhgulnp_c + 1.0 h_c	1.0 L-ascorbate-6-phosphate + 1.0 H2O H2O = 1.0 3-keto-L-gulonate-6-phosphate + 1.0 H+	1.0 CHEBI:80368 + 1.0 CHEBI:13352 = 1.0 CHEBI:58774 + 1.0 CHEBI:5584	{'3dhgulnp', 'h', 'ascb6p', 'h2o'}	ulaG	P39300
ACBIPGT	Adenosyl cobinamide phosphate guanyltransferase	Cofactor and Prosthetic Group Biosynthesis	1.0 adocbip_c + 1.0 gtp_c + 1.0 h_c = 1.0 agdpcbi_c + 1.0 ppi_c	1.0 Adenosyl cobinamide phosphate + 1.0 GTP C10H12N5O14P3 + 1.0 H+ = 1.0 Adenosine-GDP-cobinamide + 1.0 Diphosphate	1.0 CHEBI:2481 + 1.0 CHEBI:37565 + 1.0 CHEBI:5584 = 1.0 CHEBI:2479 + 1.0 CHEBI:45212	{'agdpcbi', 'ppi', 'adocbip', 'gtp', 'h'}	cobU	P0AE76
TRPS1	Tryptophan synthase (indoleglycerol phosphate)	Tyrosine, Tryptophan, and Phenylalanine Metabolism	1.0 3ig3p_c + 1.0 ser__L_c = 1.0 g3p_c + 1.0 h2o_c + 1.0 trp__L_c	1.0 C'-(3-Indolyl)-glycerol 3-phosphate + 1.0 L-Serine = 1.0 Glyceraldehyde 3-phosphate + 1.0 H2O H2O + 1.0 L-Tryptophan	1.0 CHEBI:58866 + 1.0 CHEBI:32845 = 1.0 CHEBI:5446 + 1.0 CHEBI:13352 + 1.0 CHEBI:13178	{'ser__L', 'h2o', '3ig3p', 'trp__L', 'g3p'}	trpA, trpB	P0A877, P0A879
PRAMPC	Phosphoribosyl-AMP cyclohydrolase	Histidine Metabolism	1.0 h2o_c + 1.0 prbamp_c = 1.0 prfp_c	1.0 H2O H2O + 1.0 1-(5-Phosphoribosyl)-AMP = 1.0 1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	1.0 CHEBI:13352 + 1.0 CHEBI:7354 = 1.0 CHEBI:11194	{'prbamp', 'prfp', 'h2o'}	hisI	P06989
ADOCBLS	Adenosylcobalamin 5'-phosphate synthase	Cofactor and Prosthetic Group Biosynthesis	1.0 agdpcbi_c + 1.0 rdmbzi_c = 1.0 adocbl_c + 1.0 gmp_c + 1.0 h_c	1.0 Adenosine-GDP-cobinamide + 1.0 N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole = 1.0 Adenosylcobalamin + 1.0 GMP C10H12N5O8P + 1.0 H+	1.0 CHEBI:2479 + 1.0 CHEBI:10329 = 1.0 Unknown + 1.0 CHEBI:24449 + 1.0 CHEBI:5584	{'agdpcbi', 'gmp', 'rdmbzi', 'adocbl', 'h'}	cobS	P36561
EX_galct__D_e	D-Galactarate exchange	Extracellular exchange	1.0 galct__D_e = 	1.0 D-Galactarate = 	1.0 CHEBI:33799 = 	{'galct__D'}	Unknown	Unknown
ADOCBIK	Adenosyl cobinamide kinase	Cofactor and Prosthetic Group Biosynthesis	1.0 adocbi_c + 1.0 atp_c = 1.0 adocbip_c + 1.0 adp_c + 1.0 h_c	1.0 Adenosyl cobinamide + 1.0 ATP C10H12N5O13P3 = 1.0 Adenosyl cobinamide phosphate + 1.0 ADP C10H12N5O10P2 + 1.0 H+	1.0 Unknown + 1.0 CHEBI:15422 = 1.0 CHEBI:2481 + 1.0 CHEBI:2342 + 1.0 CHEBI:5584	{'atp', 'adocbi', 'adp', 'adocbip', 'h'}	cobU	P0AE76
TMPK	Thiamine-phosphate kinase	Cofactor and Prosthetic Group Biosynthesis	1.0 atp_c + 1.0 thmmp_c = 1.0 adp_c + 1.0 thmpp_c	1.0 ATP C10H12N5O13P3 + 1.0 Thiamin monophosphate = 1.0 ADP C10H12N5O10P2 + 1.0 Thiamine diphosphate	1.0 CHEBI:15422 + 1.0 CHEBI:9533 = 1.0 CHEBI:2342 + 1.0 CHEBI:15229	{'thmpp', 'atp', 'thmmp', 'adp'}	thiL	P0AGG0
HPPPNDO	2,3-dihydroxypheylpropionate 1,2-dioxygenase	Alternate Carbon Metabolism	1.0 dhpppn_c + 1.0 o2_c = 1.0 h_c + 1.0 hkndd_c	1.0 3-(2,3-Dihydroxyphenyl)propanoate + 1.0 O2 O2 = 1.0 H+ + 1.0 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate	1.0 CHEBI:46951 + 1.0 CHEBI:7860 = 1.0 CHEBI:5584 + 1.0 CHEBI:66887	{'hkndd', 'o2', 'dhpppn', 'h'}	mhpB	P0ABR9
MCITL2	Methylisocitrate lyase	Alternate Carbon Metabolism	1.0 micit_c = 1.0 pyr_c + 1.0 succ_c	1.0 Methylisocitrate = 1.0 Pyruvate + 1.0 Succinate	1.0 CHEBI:57429 = 1.0 CHEBI:26462 + 1.0 CHEBI:22941	{'pyr', 'micit', 'succ'}	prpB	P77541
DXYLK	1-Deoxy-D-xylulose kinase	Cofactor and Prosthetic Group Biosynthesis	1.0 atp_c + 1.0 dxyl_c = 1.0 adp_c + 1.0 dxyl5p_c + 1.0 h_c	1.0 ATP C10H12N5O13P3 + 1.0 1-deoxy-D-xylulose = 1.0 ADP C10H12N5O10P2 + 1.0 1-deoxy-D-xylulose 5-phosphate + 1.0 H+	1.0 CHEBI:15422 + 1.0 CHEBI:19038 = 1.0 CHEBI:2342 + 1.0 CHEBI:57792 + 1.0 CHEBI:5584	{'atp', 'dxyl', 'dxyl5p', 'adp', 'h'}	xylB	P09099
MDH3	Malate dehydrogenase (menaquinone 8 as acceptor)	Citric Acid Cycle	1.0 mal__L_c + 1.0 mqn8_c = 1.0 mql8_c + 1.0 oaa_c	1.0 L-Malate + 1.0 Menaquinone 8 = 1.0 Menaquinol 8 + 1.0 Oxaloacetate	1.0 CHEBI:15589 + 1.0 CHEBI:44027 = 1.0 CHEBI:61684 + 1.0 CHEBI:25731	{'mal__L', 'mqn8', 'oaa', 'mql8'}	mqo	P33940
SOTA	Succinylornithine transaminase	Arginine and Proline Metabolism	1.0 akg_c + 1.0 sucorn_c = 1.0 glu__L_c + 1.0 sucgsa_c	1.0 2-Oxoglutarate + 1.0 N2-Succinyl-L-ornithine = 1.0 L-Glutamate + 1.0 N2-Succinyl-L-glutamate 5-semialdehyde	1.0 CHEBI:40661 + 1.0 CHEBI:21822 = 1.0 CHEBI:76051 + 1.0 CHEBI:7374	{'akg', 'glu__L', 'sucgsa', 'sucorn'}	astC	P77581
DHCINDO	2,3-dihydroxycinnamate 1,2-dioxygenase	Alternate Carbon Metabolism	1.0 dhcinnm_c + 1.0 o2_c = 1.0 h_c + 1.0 hkntd_c	1.0 2,3-dihydroxicinnamic acid + 1.0 O2 O2 = 1.0 H+ + 1.0 2-hydroxy-6-ketononatrienedioate	1.0 CHEBI:58642 + 1.0 CHEBI:7860 = 1.0 CHEBI:5584 + 1.0 CHEBI:61450	{'o2', 'h', 'hkntd', 'dhcinnm'}	mhpB	P0ABR9
SGSAD	Succinylglutamic semialdehyde dehydrogenase	Arginine and Proline Metabolism	1.0 h2o_c + 1.0 nad_c + 1.0 sucgsa_c = 2.0 h_c + 1.0 nadh_c + 1.0 sucglu_c	1.0 H2O H2O + 1.0 Nicotinamide adenine dinucleotide + 1.0 N2-Succinyl-L-glutamate 5-semialdehyde = 2.0 H+ + 1.0 Nicotinamide adenine dinucleotide - reduced + 1.0 N2-Succinyl-L-glutamate	1.0 CHEBI:13352 + 1.0 CHEBI:7422 + 1.0 CHEBI:7374 = 2.0 CHEBI:5584 + 1.0 CHEBI:13395 + 1.0 CHEBI:48957	{'sucgsa', 'sucglu', 'h2o', 'nad', 'nadh', 'h'}	astD	P76217
HKNDDH	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	Alternate Carbon Metabolism	1.0 h2o_c + 1.0 hkndd_c = 1.0 h_c + 1.0 op4en_c + 1.0 succ_c	1.0 H2O H2O + 1.0 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate = 1.0 H+ + 1.0 2-Oxopent-4-enoate + 1.0 Succinate	1.0 CHEBI:13352 + 1.0 CHEBI:66887 = 1.0 CHEBI:5584 + 1.0 CHEBI:11641 + 1.0 CHEBI:22941	{'succ', 'h2o', 'hkndd', 'op4en', 'h'}	mhpC	P77044
EX_idon__L_e	L-Idonate exchange	Extracellular exchange	1.0 idon__L_e = 	1.0 L-Idonate = 	1.0 CHEBI:13126 = 	{'idon__L'}	Unknown	Unknown
HKNTDH	2-hydroxy-6-ketononotrienedioate hydrolase	Alternate Carbon Metabolism	1.0 h2o_c + 1.0 hkntd_c = 1.0 fum_c + 1.0 h_c + 1.0 op4en_c	1.0 H2O H2O + 1.0 2-hydroxy-6-ketononatrienedioate = 1.0 Fumarate + 1.0 H+ + 1.0 2-Oxopent-4-enoate	1.0 CHEBI:13352 + 1.0 CHEBI:61450 = 1.0 CHEBI:36180 + 1.0 CHEBI:5584 + 1.0 CHEBI:11641	{'hkntd', 'fum', 'h2o', 'op4en', 'h'}	mhpC	P77044
GLYCK2	Glycerate kinase	Glycine and Serine Metabolism	1.0 atp_c + 1.0 glyc__R_c = 1.0 2pg_c + 1.0 adp_c + 1.0 h_c	1.0 ATP C10H12N5O13P3 + 1.0 (R)-Glycerate = 1.0 D-Glycerate 2-phosphate + 1.0 ADP C10H12N5O10P2 + 1.0 H+	1.0 CHEBI:15422 + 1.0 CHEBI:21030 = 1.0 CHEBI:39868 + 1.0 CHEBI:2342 + 1.0 CHEBI:5584	{'atp', 'glyc__R', 'adp', '2pg', 'h'}	garK	P23524
PTA2	Phosphate acetyltransferase	Alternate Carbon Metabolism	1.0 pi_c + 1.0 ppcoa_c = 1.0 coa_c + 1.0 ppap_c	1.0 Phosphate + 1.0 Propanoyl-CoA = 1.0 Coenzyme A + 1.0 Propanoyl phosphate	1.0 CHEBI:26078 + 1.0 CHEBI:14907 = 1.0 CHEBI:41631 + 1.0 CHEBI:58933	{'coa', 'ppcoa', 'pi', 'ppap'}	pta	P0A9M8
