Reaction ID	Name	Subsystem	Reaction (IDs)	Reaction (Names)	Reaction (CHEBI)	Substrates (BiGG)	Genes	UIDs
ETHSO3abcpp	Ethanesulfonate transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 ethso3_p + 1.0 h2o_c = 1.0 adp_c + 1.0 ethso3_c + 1.0 h_c + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 Ethanesulfonate + 1.0 H2O H2O = 1.0 ADP C10H12N5O10P2 + 1.0 Ethanesulfonate + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:61909 + 1.0 CHEBI:13352 = 1.0 CHEBI:2342 + 1.0 CHEBI:61909 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'atp', 'pi', 'h', 'h2o', 'ethso3', 'adp'}	ssuC, ssuB, ssuA	P75851, P0AAI1, P75853
MELIBtex	Melibiose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 melib_e = 1.0 melib_p	1.0 Melibiose C12H22O11 = 1.0 Melibiose C12H22O11	1.0 CHEBI:61827 = 1.0 CHEBI:61827	{'melib'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
DMSOtex	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 dmso_e = 1.0 dmso_p	1.0 Dimethyl sulfoxide = 1.0 Dimethyl sulfoxide	1.0 CHEBI:23801 = 1.0 CHEBI:23801	{'dmso'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
DURItex	Deoxyuridine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane	1.0 duri_e = 1.0 duri_p	1.0 Deoxyuridine = 1.0 Deoxyuridine	1.0 CHEBI:46293 = 1.0 CHEBI:46293	{'duri'}	tsx	P0A927
FRUtex	D-fructose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 fru_e = 1.0 fru_p	1.0 D-Fructose = 1.0 D-Fructose	1.0 CHEBI:47424 = 1.0 CHEBI:47424	{'fru'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FUCtex	L-fucose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 fuc__L_e = 1.0 fuc__L_p	1.0 L-Fucose = 1.0 L-Fucose	1.0 CHEBI:48204 = 1.0 CHEBI:48204	{'fuc__L'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 fum_e = 1.0 fum_p	1.0 Fumarate = 1.0 Fumarate	1.0 CHEBI:36180 = 1.0 CHEBI:36180	{'fum'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FE2tex	Iron (II) transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 fe2_e = 1.0 fe2_p	1.0 Fe2+ mitochondria = 1.0 Fe2+ mitochondria	1.0 CHEBI:29033 = 1.0 CHEBI:29033	{'fe2'}	ompN, ompC, phoE, ompF	P77747, P06996, P02932, P02931
NMNtex	NMN transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 nmn_e = 1.0 nmn_p	1.0 NMN C11H14N2O8P = 1.0 NMN C11H14N2O8P	1.0 CHEBI:14648 = 1.0 CHEBI:14648	{'nmn'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
ENTERES	Enterochelin Esterase	Inorganic Ion Transport and Metabolism	1.0 enter_c + 3.0 h2o_c = 3.0 23dhbzs_c + 3.0 h_c	1.0 Enterochelin + 3.0 H2O H2O = 3.0 2,3-dihydroxybenzoylserine + 3.0 H+	1.0 CHEBI:4799 + 3.0 CHEBI:13352 = 3.0 CHEBI:17455 + 3.0 CHEBI:5584	{'enter', 'h', '23dhbzs', 'h2o'}	fes	P13039
NO2tex	Nitrite transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 no2_e = 1.0 no2_p	1.0 Nitrite = 1.0 Nitrite	1.0 CHEBI:16301 = 1.0 CHEBI:16301	{'no2'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FEOXAMUtex	Ferroxamine (minus Fe3) secretion (to extracellular)	Inorganic Ion Transport and Metabolism	1.0 feoxam_un_p + 1.0 h_p = 1.0 feoxam_un_e + 1.0 h_c	1.0 Ferroxamine minus Fe(3) + 1.0 H+ = 1.0 Ferroxamine minus Fe(3) + 1.0 H+	1.0 Unknown + 1.0 CHEBI:5584 = 1.0 Unknown + 1.0 CHEBI:5584	{'feoxam_un', 'h'}	Unknown	Unknown
ARBTNtpp	Aerobactin secretion (to periplasm)	Inorganic Ion Transport and Metabolism	1.0 arbtn_c + 1.0 h_p = 1.0 arbtn_p + 1.0 h_c	1.0 Aerobactin minus Fe3 + 1.0 H+ = 1.0 Aerobactin minus Fe3 + 1.0 H+	1.0 Unknown + 1.0 CHEBI:5584 = 1.0 Unknown + 1.0 CHEBI:5584	{'arbtn', 'h'}	Unknown	Unknown
ARBTNtex	Aerobactin secretion (to extracellular)	Transport, Outer Membrane	1.0 arbtn_p + 1.0 h_p = 1.0 arbtn_e + 1.0 h_c	1.0 Aerobactin minus Fe3 + 1.0 H+ = 1.0 Aerobactin minus Fe3 + 1.0 H+	1.0 Unknown + 1.0 CHEBI:5584 = 1.0 Unknown + 1.0 CHEBI:5584	{'arbtn', 'h'}	Unknown	Unknown
BUTt2rpp	Butyrate transport via proton symport, reversible (periplasm)	Transport, Inner Membrane	1.0 but_p + 1.0 h_p = 1.0 but_c + 1.0 h_c	1.0 Butyrate (n-C4:0) + 1.0 H+ = 1.0 Butyrate (n-C4:0) + 1.0 H+	1.0 Unknown + 1.0 CHEBI:5584 = 1.0 Unknown + 1.0 CHEBI:5584	{'h', 'but'}	atoE	P76460
CADVtpp	Lysine/Cadaverine antiporter (periplasm)	Transport, Inner Membrane	1.0 15dap_c + 1.0 h_p + 1.0 lys__L_p = 1.0 15dap_p + 1.0 h_c + 1.0 lys__L_c	1.0 1,5-Diaminopentane + 1.0 H+ + 1.0 L-Lysine = 1.0 1,5-Diaminopentane + 1.0 H+ + 1.0 L-Lysine	1.0 CHEBI:58384 + 1.0 CHEBI:5584 + 1.0 CHEBI:6264 = 1.0 CHEBI:58384 + 1.0 CHEBI:5584 + 1.0 CHEBI:6264	{'lys__L', 'h', '15dap'}	cadB	P0AAE8
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 23camp_e = 1.0 23camp_p	1.0 2',3'-Cyclic AMP = 1.0 2',3'-Cyclic AMP	1.0 CHEBI:823 = 1.0 CHEBI:823	{'23camp'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 23ccmp_e = 1.0 23ccmp_p	1.0 2',3'-Cyclic CMP = 1.0 2',3'-Cyclic CMP	1.0 CHEBI:824 = 1.0 CHEBI:824	{'23ccmp'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 23cump_e = 1.0 23cump_p	1.0 2',3'-Cyclic UMP = 1.0 2',3'-Cyclic UMP	1.0 CHEBI:28637 = 1.0 CHEBI:28637	{'23cump'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 23cgmp_e = 1.0 23cgmp_p	1.0 2',3'-Cyclic GMP = 1.0 2',3'-Cyclic GMP	1.0 CHEBI:28181 = 1.0 CHEBI:28181	{'23cgmp'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 3amp_e = 1.0 3amp_p	1.0 3  AMP C10H12N5O7P = 1.0 3  AMP C10H12N5O7P	1.0 CHEBI:40872 = 1.0 CHEBI:40872	{'3amp'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 3cmp_e = 1.0 3cmp_p	1.0 3  CMP C9H12N3O8P = 1.0 3  CMP C9H12N3O8P	1.0 CHEBI:28929 = 1.0 CHEBI:28929	{'3cmp'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
GDPtex	GDP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 gdp_e = 1.0 gdp_p	1.0 GDP C10H12N5O11P2 = 1.0 GDP C10H12N5O11P2	1.0 CHEBI:5212 = 1.0 CHEBI:5212	{'gdp'}	ompF, ompN, ompC, phoE	P02931, P77747, P06996, P02932
FEENTERtpp	Enterochelin transport (secretion)	Transport, Inner Membrane	1.0 enter_c + 1.0 h_p = 1.0 enter_p + 1.0 h_c	1.0 Enterochelin + 1.0 H+ = 1.0 Enterochelin + 1.0 H+	1.0 CHEBI:4799 + 1.0 CHEBI:5584 = 1.0 CHEBI:4799 + 1.0 CHEBI:5584	{'enter', 'h'}	entS	P24077
TMAtex	Trimethylamine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 tma_e = 1.0 tma_p	1.0 Trimethylamine = 1.0 Trimethylamine	1.0 CHEBI:9732 = 1.0 CHEBI:9732	{'tma'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
TMAOtex	Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 tmao_e = 1.0 tmao_p	1.0 Trimethylamine N-oxide = 1.0 Trimethylamine N-oxide	1.0 CHEBI:15724 = 1.0 CHEBI:15724	{'tmao'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
TREtex	Trehalose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 tre_e = 1.0 tre_p	1.0 Trehalose = 1.0 Trehalose	1.0 CHEBI:46211 = 1.0 CHEBI:46211	{'tre'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FEENTERtex	Enterochelin transport (secretion periplasm)	Inorganic Ion Transport and Metabolism	1.0 enter_p + 1.0 h_p = 1.0 enter_e + 1.0 h_c	1.0 Enterochelin + 1.0 H+ = 1.0 Enterochelin + 1.0 H+	1.0 CHEBI:4799 + 1.0 CHEBI:5584 = 1.0 CHEBI:4799 + 1.0 CHEBI:5584	{'enter', 'h'}	tolC	P02930
FE3HOXUtpp	Fe(III)hydroxamate unloaded secretion (extracellular)	Inorganic Ion Transport and Metabolism	1.0 fe3hox_un_p + 1.0 h_p = 1.0 fe3hox_un_e + 1.0 h_c	1.0 Fe(III)hydoxamate, unloaded + 1.0 H+ = 1.0 Fe(III)hydoxamate, unloaded + 1.0 H+	1.0 Unknown + 1.0 CHEBI:5584 = 1.0 Unknown + 1.0 CHEBI:5584	{'fe3hox_un', 'h'}	Unknown	Unknown
FEOXAMUtpp	Ferroxamine (minus Fe3) secretion (to periplasm)	Inorganic Ion Transport and Metabolism	1.0 feoxam_un_c + 1.0 h_p = 1.0 feoxam_un_p + 1.0 h_c	1.0 Ferroxamine minus Fe(3) + 1.0 H+ = 1.0 Ferroxamine minus Fe(3) + 1.0 H+	1.0 Unknown + 1.0 CHEBI:5584 = 1.0 Unknown + 1.0 CHEBI:5584	{'feoxam_un', 'h'}	Unknown	Unknown
FECRMUtpp	Ferrichrome (minus Fe) secretion (to periplasm)	Inorganic Ion Transport and Metabolism	1.0 fecrm_un_c + 1.0 h_p = 1.0 fecrm_un_p + 1.0 h_c	1.0 Ferrichrome minus Fe(III) + 1.0 H+ = 1.0 Ferrichrome minus Fe(III) + 1.0 H+	1.0 Unknown + 1.0 CHEBI:5584 = 1.0 Unknown + 1.0 CHEBI:5584	{'fecrm_un', 'h'}	Unknown	Unknown
FE3HOXR2	Fe(III)hydroxamate reductase	Inorganic Ion Transport and Metabolism	2.0 fe3hox_c + 1.0 fmnh2_c = 2.0 fe2_c + 2.0 fe3hox_un_c + 1.0 fmn_c + 2.0 h_c	2.0 Fe(III)hydroxamate + 1.0 Reduced FMN = 2.0 Fe2+ mitochondria + 2.0 Fe(III)hydoxamate, unloaded + 1.0 FMN C17H19N4O9P + 2.0 H+	2.0 CHEBI:21131 + 1.0 CHEBI:133886 = 2.0 CHEBI:29033 + 2.0 Unknown + 1.0 CHEBI:58210 + 2.0 CHEBI:5584	{'fmn', 'h', 'fmnh2', 'fe3hox', 'fe2', 'fe3hox_un'}	Unknown	Unknown
TRPtex	L-tryptophan transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 trp__L_e = 1.0 trp__L_p	1.0 L-Tryptophan = 1.0 L-Tryptophan	1.0 CHEBI:13178 = 1.0 CHEBI:13178	{'trp__L'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
PTRCt2pp	Putrescine transport in via proton symport	Transport, Inner Membrane	1.0 h_p + 1.0 ptrc_p = 1.0 h_c + 1.0 ptrc_c	1.0 H+ + 1.0 Putrescine = 1.0 H+ + 1.0 Putrescine	1.0 CHEBI:5584 + 1.0 CHEBI:8650 = 1.0 CHEBI:5584 + 1.0 CHEBI:8650	{'h', 'ptrc'}	potE, puuP, plaP	P0AAF1, P76037, P0AA47
PNTOtex	Pantothenate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 pnto__R_e = 1.0 pnto__R_p	1.0 (R)-Pantothenate = 1.0 (R)-Pantothenate	1.0 CHEBI:29032 = 1.0 CHEBI:29032	{'pnto__R'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FDMO6	FMNH2-dependent monooxygenase (sulfoacetate)	Inorganic Ion Transport and Metabolism	1.0 fmnh2_c + 1.0 o2_c + 1.0 sulfac_c = 1.0 fmn_c + 1.0 glx_c + 1.0 h2o_c + 1.0 h_c + 1.0 so3_c	1.0 Reduced FMN + 1.0 O2 O2 + 1.0 Sulfoacetate = 1.0 FMN C17H19N4O9P + 1.0 Glyoxylate + 1.0 H2O H2O + 1.0 H+ + 1.0 Sulfite	1.0 CHEBI:133886 + 1.0 CHEBI:7860 + 1.0 CHEBI:34987 = 1.0 CHEBI:58210 + 1.0 CHEBI:24420 + 1.0 CHEBI:13352 + 1.0 CHEBI:5584 + 1.0 CHEBI:15139	{'glx', 'fmn', 'o2', 'h', 'fmnh2', 'sulfac', 'h2o', 'so3'}	ssuD	P80645
TSULtex	Thiosulfate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 tsul_e = 1.0 tsul_p	1.0 Thiosulfate = 1.0 Thiosulfate	1.0 CHEBI:33540 = 1.0 CHEBI:33540	{'tsul'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
TYRtex	L-tyrosine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 tyr__L_e = 1.0 tyr__L_p	1.0 L-Tyrosine = 1.0 L-Tyrosine	1.0 CHEBI:6313 = 1.0 CHEBI:6313	{'tyr__L'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
URAtex	Uracil transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 ura_e = 1.0 ura_p	1.0 Uracil = 1.0 Uracil	1.0 CHEBI:27210 = 1.0 CHEBI:27210	{'ura'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
UREAtex	Urea transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 urea_e = 1.0 urea_p	1.0 Urea CH4N2O = 1.0 Urea CH4N2O	1.0 CHEBI:134711 = 1.0 CHEBI:134711	{'urea'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
URItex	Uridine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane	1.0 uri_e = 1.0 uri_p	1.0 Uridine = 1.0 Uridine	1.0 CHEBI:46386 = 1.0 CHEBI:46386	{'uri'}	tsx	P0A927
SULFACabcpp	Sulfoacetate transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 sulfac_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 sulfac_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 Sulfoacetate = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 Sulfoacetate	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:34987 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:34987	{'pi', 'atp', 'h', 'sulfac', 'h2o', 'adp'}	ssuC, ssuB, ssuA	P75851, P0AAI1, P75853
ETHSO3tex	Ethanesulfonate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 ethso3_e = 1.0 ethso3_p	1.0 Ethanesulfonate = 1.0 Ethanesulfonate	1.0 CHEBI:61909 = 1.0 CHEBI:61909	{'ethso3'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
BUTSO3tex	Butanesulfonate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 butso3_e = 1.0 butso3_p	1.0 Butanesulfonate = 1.0 Butanesulfonate	1.0 Unknown = 1.0 Unknown	{'butso3'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
LIPOtex	Lipoate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 lipoate_e = 1.0 lipoate_p	1.0 Lipoate = 1.0 Lipoate	1.0 CHEBI:43796 = 1.0 CHEBI:43796	{'lipoate'}	ompN, ompC, ompF, phoE	P77747, P06996, P02931, P02932
CYANSTpp	Cyanide sulfurtransferase (periplasmic)	Inorganic Ion Transport and Metabolism	1.0 cyan_p + 1.0 tsul_p = 1.0 h_p + 1.0 so3_p + 1.0 tcynt_p	1.0 Hydrogen cyanide + 1.0 Thiosulfate = 1.0 H+ + 1.0 Sulfite + 1.0 Thiocyanate	1.0 CHEBI:18407 + 1.0 CHEBI:33540 = 1.0 CHEBI:5584 + 1.0 CHEBI:15139 + 1.0 CHEBI:29200	{'h', 'tsul', 'so3', 'cyan', 'tcynt'}	pspE	P23857
VALtex	L-valine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 val__L_e = 1.0 val__L_p	1.0 L-Valine = 1.0 L-Valine	1.0 CHEBI:32859 = 1.0 CHEBI:32859	{'val__L'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
XANtex	Xanthine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 xan_e = 1.0 xan_p	1.0 Xanthine = 1.0 Xanthine	1.0 CHEBI:15318 = 1.0 CHEBI:15318	{'xan'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
XYLtex	D-xylose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 xyl__D_e = 1.0 xyl__D_p	1.0 D-Xylose = 1.0 D-Xylose	1.0 CHEBI:65327 = 1.0 CHEBI:65327	{'xyl__D'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
PPPNtex	3-phenylpropionate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 pppn_e = 1.0 pppn_p	1.0 Phenylpropanoate = 1.0 Phenylpropanoate	1.0 CHEBI:20187 = 1.0 CHEBI:20187	{'pppn'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
ABUTtex	4-aminobutyrate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 4abut_e = 1.0 4abut_p	1.0 4-Aminobutanoate = 1.0 4-Aminobutanoate	1.0 CHEBI:40483 = 1.0 CHEBI:40483	{'4abut'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FORtppi	Formate transport via diffusion (cytoplasm to periplasm)	Transport, Inner Membrane	1.0 for_c = 1.0 for_p	1.0 Formate = 1.0 Formate	1.0 CHEBI:24081 = 1.0 CHEBI:24081	{'for'}	focA, focB	P0AC23, P77733
PHEMEabcpp	Protoheme transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 pheme_c = 1.0 adp_c + 1.0 h_c + 1.0 pheme_p + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 Protoheme C34H30FeN4O4 = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Protoheme C34H30FeN4O4 + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:60344 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:60344 + 1.0 CHEBI:26078	{'atp', 'pi', 'h', 'pheme', 'h2o', 'adp'}	ccmD, ccmC, ccmE, ccmB, ccmA	P0ABM5, P0ABM1, P69490, P0ABL8, P33931
METSOX1abcpp	L-methionine S-oxide transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 metsox_S__L_p = 1.0 adp_c + 1.0 h_c + 1.0 metsox_S__L_c + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 L-Methionine Sulfoxide = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 L-Methionine Sulfoxide + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:6272 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:6272 + 1.0 CHEBI:26078	{'atp', 'pi', 'h', 'metsox_S__L', 'h2o', 'adp'}	Unknown	Unknown
PPTtex	Phosphonate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 ppt_e = 1.0 ppt_p	1.0 Phosphonate = 1.0 Phosphonate	1.0 CHEBI:29196 = 1.0 CHEBI:29196	{'ppt'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
GALBDtex	Beta D-galactose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 gal_bD_e = 1.0 gal_bD_p	1.0 Beta D-Galactose = 1.0 Beta D-Galactose	1.0 CHEBI:42776 = 1.0 CHEBI:42776	{'gal_bD'}	ompC, phoE, ompF, ompN	P06996, P02932, P02931, P77747
PTRCtex	Putrescine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 ptrc_e = 1.0 ptrc_p	1.0 Putrescine = 1.0 Putrescine	1.0 CHEBI:8650 = 1.0 CHEBI:8650	{'ptrc'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FE3HOXR3	Fe(III)hydroxamate reductase	Inorganic Ion Transport and Metabolism	2.0 fe3hox_c + 1.0 rbflvrd_c = 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c + 1.0 ribflv_c	2.0 Fe(III)hydroxamate + 1.0 Reduced riboflavin = 2.0 Fe2+ mitochondria + 2.0 Fe(III)hydoxamate, unloaded + 2.0 H+ + 1.0 Riboflavin C17H20N4O6	2.0 CHEBI:21131 + 1.0 CHEBI:26527 = 2.0 CHEBI:29033 + 2.0 Unknown + 2.0 CHEBI:5584 + 1.0 CHEBI:57986	{'ribflv', 'h', 'rbflvrd', 'fe3hox', 'fe2', 'fe3hox_un'}	Unknown	Unknown
FEENTERR1	Fe-enterobactin reduction (Fe(III)-unloading)	Inorganic Ion Transport and Metabolism	1.0 fadh2_c + 2.0 feenter_c = 2.0 enter_c + 1.0 fad_c + 2.0 fe2_c + 2.0 h_c	1.0 Flavin adenine dinucleotide reduced + 2.0 Fe-enterobactin = 2.0 Enterochelin + 1.0 Flavin adenine dinucleotide oxidized + 2.0 Fe2+ mitochondria + 2.0 H+	1.0 CHEBI:13316 + 2.0 CHEBI:4993 = 2.0 CHEBI:4799 + 1.0 CHEBI:16238 + 2.0 CHEBI:29033 + 2.0 CHEBI:5584	{'enter', 'h', 'fadh2', 'fe2', 'feenter', 'fad'}	Unknown	Unknown
PYRtex	Pyruvate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 pyr_e = 1.0 pyr_p	1.0 Pyruvate = 1.0 Pyruvate	1.0 CHEBI:26462 = 1.0 CHEBI:26462	{'pyr'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
CU1abcpp	Copper (Cu +1) ABC transporter (periplasm)	Inorganic Ion Transport and Metabolism	1.0 atp_c + 1.0 cu_c + 1.0 h2o_c = 1.0 adp_c + 1.0 cu_p + 1.0 h_c + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 Cu+ + 1.0 H2O H2O = 1.0 ADP C10H12N5O10P2 + 1.0 Cu+ + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:49551 + 1.0 CHEBI:13352 = 1.0 CHEBI:2342 + 1.0 CHEBI:49551 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'atp', 'pi', 'h', 'h2o', 'cu', 'adp'}	copA	Q59385
HG2abcpp	Mercury (Hg+2) ABC transporter (periplasm)	Inorganic Ion Transport and Metabolism	1.0 atp_c + 1.0 h2o_c + 1.0 hg2_c = 1.0 adp_c + 1.0 h_c + 1.0 hg2_p + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 Mercury  charged 2  Hg = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Mercury  charged 2  Hg + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:25200 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:25200 + 1.0 CHEBI:26078	{'atp', 'pi', 'hg2', 'h', 'h2o', 'adp'}	zntA	P37617
FEENTERR3	Fe-enterobactin reduction (Fe(III)-unloading)	Inorganic Ion Transport and Metabolism	2.0 feenter_c + 1.0 rbflvrd_c = 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + 1.0 ribflv_c	2.0 Fe-enterobactin + 1.0 Reduced riboflavin = 2.0 Enterochelin + 2.0 Fe2+ mitochondria + 2.0 H+ + 1.0 Riboflavin C17H20N4O6	2.0 CHEBI:4993 + 1.0 CHEBI:26527 = 2.0 CHEBI:4799 + 2.0 CHEBI:29033 + 2.0 CHEBI:5584 + 1.0 CHEBI:57986	{'enter', 'h', 'rbflvrd', 'fe2', 'feenter', 'ribflv'}	Unknown	Unknown
SULFACtex	Sulfoaceate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 sulfac_e = 1.0 sulfac_p	1.0 Sulfoacetate = 1.0 Sulfoacetate	1.0 CHEBI:34987 = 1.0 CHEBI:34987	{'sulfac'}	ompN, ompC, phoE, ompF	P77747, P06996, P02932, P02931
DSERtex	D-serine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 ser__D_e = 1.0 ser__D_p	1.0 D-Serine = 1.0 D-Serine	1.0 CHEBI:35247 = 1.0 CHEBI:35247	{'ser__D'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
SERtex	L-serine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 ser__L_e = 1.0 ser__L_p	1.0 L-Serine = 1.0 L-Serine	1.0 CHEBI:32845 = 1.0 CHEBI:32845	{'ser__L'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
